Num,Header,Shortcut,Subgenus,Genus,Genus2
54,"FJ904717.1 Infectious bronchitis virus strain Conn46 1972, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
55,"FJ904714.1 Infectious bronchitis virus strain Cal 1995, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
56,"DQ001339.1 Avian infectious bronchitis virus isolate IBV-p65, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
57,"DQ001338.1 Avian infectious bronchitis virus isolate IBV-EP3, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
58,"MW732689.1 UNVERIFIED: Infectious bronchitis virus strain ck/CH/AH/2020, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
59,"MW791835.1 Infectious bronchitis virus isolate CK/CH/FJ/202005, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
60,"LC716901.1 Infectious bronchitis virus JP/Shimane/98 RNA, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
61,"LC716900.1 Infectious bronchitis virus JP/Yamanashi/93 RNA, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
62,"ON350837.1 Infectious bronchitis virus strain r-H120-QX(S), complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
63,"ON350836.1 Infectious bronchitis virus strain H120, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
64,"MW815495.1 Infectious bronchitis virus isolate CK/CH/NP2011, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
65,"MW815494.1 Infectious bronchitis virus isolate CK/CH/TJ1904, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
66,"OM912708.1 Infectious bronchitis virus isolate IBV/ck/MEX/2961/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
67,"OM912707.1 Infectious bronchitis virus isolate IBV/ck/MEX/2960/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
68,"OM912706.1 Infectious bronchitis virus isolate IBV/ck/MEX/2956/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
69,"OM912705.1 Infectious bronchitis virus isolate IBV/ck/MEX/2944/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
70,"OM912704.1 Infectious bronchitis virus isolate IBV/ck/MEX/2930/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
71,"OM912703.1 Infectious bronchitis virus isolate IBV/ck/MEX/2860/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
72,"OM912702.1 Infectious bronchitis virus isolate IBV/ck/MEX/2833/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
73,"OM912701.1 Infectious bronchitis virus isolate IBV/ck/MEX/2826/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
74,"OM912700.1 Infectious bronchitis virus isolate IBV/ck/MEX/2819/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
75,"OM912699.1 Infectious bronchitis virus isolate IBV/ck/MEX/2818/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
76,"OM912698.1 Infectious bronchitis virus isolate IBV/ck/MEX/1616/19, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
77,"OM912697.1 Infectious bronchitis virus isolate IBV/ck/MEX/1619/19, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
78,"OM912696.1 Infectious bronchitis virus isolate IBV/ck/MEX/1623/19, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
79,"OM912695.1 Infectious bronchitis virus isolate IBV/ck/MEX/2523/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
80,"OM912694.1 Infectious bronchitis virus isolate IBV/ck/MEX/2562/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
81,"OM912693.1 Infectious bronchitis virus isolate IBV/ck/MEX/2563/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
82,"OM912692.1 Infectious bronchitis virus isolate IBV/ck/MEX/2592/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
83,"OM912691.1 Infectious bronchitis virus isolate IBV/ck/MEX/2721/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
84,"OM912690.1 Infectious bronchitis virus isolate IBV/ck/MEX/2723/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
85,"OM912689.1 Infectious bronchitis virus isolate IBV/ck/MEX/2725/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
86,"OM912688.1 Infectious bronchitis virus isolate IBV/ck/MEX/2742/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
87,"OM912687.1 Infectious bronchitis virus isolate IBV/ck/MEX/2748/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
88,"OM912686.1 Infectious bronchitis virus isolate IBV/ck/MEX/2753/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
89,"OM912685.1 Infectious bronchitis virus isolate IBV/ck/MEX/2598/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
90,"OM912684.1 Infectious bronchitis virus isolate IBV/ck/MEX/2602/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
91,"OM912683.1 Infectious bronchitis virus isolate IBV/ck/MEX/2743/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
92,"OM912682.1 Infectious bronchitis virus isolate IBV/ck/MEX/2354/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
93,"OM912681.1 Infectious bronchitis virus isolate IBV/ck/MEX/2754/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
94,"OM912680.1 Infectious bronchitis virus isolate IBV/ck/MEX/2353/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
95,"OM912679.1 Infectious bronchitis virus isolate IBV/ck/MEX/2752/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
96,"OM912678.1 Infectious bronchitis virus isolate IBV/ck/MEX/2359/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
97,"OM912677.1 Infectious bronchitis virus isolate IBV/ck/MEX/2360/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
98,"OM912676.1 Infectious bronchitis virus isolate IBV/ck/MEX/2731/21, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
99,"LC683780.1 Infectious bronchitis virus JP/Yamagata/2017 RNA, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
100,"LC683779.1 Infectious bronchitis virus JP/Toyama/2000 RNA, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
101,"MK972912.1 Infectious bronchitis virus strain Ck/Aus/Q1/99, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
102,"MK972911.1 Infectious bronchitis virus strain Ck/Aus/Q1/13, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
103,"MK990813.1 Infectious bronchitis virus strain Ck/Aus/Q1/73, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
104,"MK990812.1 Infectious bronchitis virus strain Ck/Aus/V5/90, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
105,"MK990811.1 Infectious bronchitis virus strain Ck/Aus/V1/71, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
106,"MK990809.1 Infectious bronchitis virus strain Ck/Aus/V1/02, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
107,"MK990808.1 Infectious bronchitis virus strain Ck/Aus/N1/62, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
108,"MK982928.1 Infectious bronchitis virus strain Ck/Aus/Q4/99, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
109,"MK982927.1 Infectious bronchitis virus strain Ck/Aus/Q3/88, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
110,"MK778364.1 Infectious bronchitis virus strain Ck/Aus/V6/92, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
111,"NC_048214.1 Duck coronavirus isolate DK/GD/27/2014, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
112,"MZ327724.1 Guinea fowl coronavirus strain gCoV/AvCoV/Guineafowl/France/I172562a2/2017, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
113,"MZ327723.1 Guinea fowl coronavirus strain gCoV/AvCoV/Guineafowl/France/I172562a1/2017, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
114,"LC634083.1 Infectious bronchitis virus JP/KH/64 RNA, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
115,"MT665806.1 Infectious bronchitis virus isolate IBV/Ck/Can/17-038913, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
116,"MW792514.1 Infectious bronchitis virus strain I0303/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
117,"MW792513.1 Infectious bronchitis virus strain I0101/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
118,"MW792512.1 Infectious bronchitis virus strain I0716/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
119,"MW792511.1 Infectious bronchitis virus strain I0302/20, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
120,"MW446888.1 Infectious bronchitis virus strain IBV/M41/Y27, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
121,"MW446887.1 Infectious bronchitis virus strain IBV/M41/Y192, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
122,"MW436705.1 Infectious bronchitis virus strain IBV/M41/Y25, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
123,"MW436704.1 Infectious bronchitis virus strain IBV/M41/Y185, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
124,"MW429062.1 Infectious bronchitis virus strain IBV/M41/N56, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
125,"MW429061.1 Infectious bronchitis virus strain IBV/M41/Y28, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
126,"MW429060.1 Infectious bronchitis virus strain IBV/M41/Y195, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
127,"MW429059.1 Infectious bronchitis virus strain IBV/M41/Y164, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
128,"MW419300.1 Infectious bronchitis virus strain IBV/M41/Y83, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
129,"MW248465.1 Infectious bronchitis virus strain IBV/M41/Y82, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
130,"MW222181.1 Infectious bronchitis virus strain IBV/M41/Y191, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
131,"MT978193.1 Infectious bronchitis virus strain ck/CH/LDL/091022-K1, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
132,"MK878536.1 Infectious bronchitis virus isolate GA9977/2019, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
133,"MT701511.1 Infectious bronchitis virus isolate GD17/04, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
134,"MT563407.1 Infectious bronchitis virus strain SC/SDL/19, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
135,"MT176422.1 Infectious bronchitis virus isolate IBV/Ck/USA/PA/P1810234-KD, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
136,"MT176421.1 Infectious bronchitis virus isolate IBV/Ck/USA/PA/P1810234-TR, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
137,"MT591566.1 Infectious bronchitis virus strain CK/DE/IB80/2016, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
138,"MT460496.1 Infectious bronchitis virus isolate CK/CH/LAH/1806, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
139,"MN199464.1 Infectious bronchitis virus isolate R17/27, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
140,"MN987231.1 Infectious bronchitis virus isolate IBV/ck/EGY-Monuf/USC-5/13, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
141,"MN987230.1 Infectious bronchitis virus isolate IBV/ck/EGY-Monuf/NR725/16, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
142,"MK957245.1 Infectious bronchitis virus strain PR01, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
143,"MK953937.1 Infectious bronchitis virus strain Brazil/SP55, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
144,"MN531556.1 Infectious bronchitis virus strain cK/CH/LSD/110856, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
145,"MN531555.1 Infectious bronchitis virus strain cK/CH/LSD/1112145, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
146,"MN531554.1 Infectious bronchitis virus strain cK/CH/LLN/120611, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
147,"MN517817.1 Infectious bronchitis virus strain cK/CH/LSD/110723, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
148,"MN517816.1 Infectious bronchitis virus strain cK/CH/LJL/090608, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
149,"MN509589.1 Infectious bronchitis virus strain cK/CH/LHLJ/110664, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
150,"MN509588.1 Infectious bronchitis virus strain I0730/17, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
151,"MN509587.1 Infectious bronchitis virus strain cK/CH/LDL/091021, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
152,"NC_048213.1 Infectious bronchitis virus isolate Ind-TN92-03, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
153,"MN794188.1 Infectious bronchitis virus strain I0305/19, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
154,"MN307884.1 Infectious bronchitis virus isolate ck/CH/LJX/2017/07, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
155,"MN128088.1 Infectious bronchitis virus strain TW2296/95w, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
156,"MN128087.1 Infectious bronchitis virus strain TW2575/98vac, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
157,"MN128086.1 Infectious bronchitis virus strain TW2296/95vac, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
158,"MK581208.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/G225/2017, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
159,"MK581207.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/G103/2016, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
160,"MK581205.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/548/2004, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
161,"MK581204.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/255/1997, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
162,"MK581203.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/162/1997, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
163,"MK581202.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/80/1989, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
164,"MK581201.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/79/1989, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
165,"MK581200.1 Infectious bronchitis virus strain gammaCoV/Ck/Poland/78/1989, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
166,"KT886454.1 Infectious bronchitis virus isolate gammaCoV/Ck/Poland/74/2009, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
167,"MN512438.1 Infectious bronchitis virus isolate IBV/Ck/Can/18-049707, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
168,"MN512437.1 Infectious bronchitis virus isolate IBV/Ck/Can/18-048430, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
169,"MN512436.1 Infectious bronchitis virus isolate IBV/Ck/Can/18-048192T, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
170,"MN512435.1 Infectious bronchitis virus isolate IBV/Ck/Can/17-036989, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
171,"MN512434.1 Infectious bronchitis virus isolate IBV/Ck/Can/17-035614, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
172,"MN096598.1 Infectious bronchitis virus strain ck/CH/YNSL/160501, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
173,"MK937833.1 Infectious bronchitis virus strain ck/CH/LJL/140820, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
174,"MK937832.1 Infectious bronchitis virus strain ck/CH/LJL/130906, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
175,"MK937831.1 Infectious bronchitis virus strain H120, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
176,"MK937830.1 Infectious bronchitis virus strain M41, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
177,"MK937829.1 Infectious bronchitis virus strain I0306/17, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
178,"MK937828.1 Infectious bronchitis virus strain I1124/16, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
179,"MK574043.1 Infectious bronchitis virus strain ck/CH/LHB/110617, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
180,"MK574042.1 Infectious bronchitis virus strain ck/CH/LHB/110615, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
181,"MK423877.1 Pheasant coronavirus strain gammaCoV/ph/China/I0623/17, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
182,"MK423876.1 Pheasant coronavirus strain gammaCoV/ph/China/I0710/17, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
183,"MK217375.1 Infectious bronchitis virus strain I1209/16, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
184,"MK217374.1 Infectious bronchitis virus strain I0916/16, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
